project_name,address,city,zip,units,sources,owner_operator,contact_email,multi_program_overlap
PERCIVAL C. SMITH TOWERS,80 Charter Oak Ave,Hartford,06106,200,Public_Housing,Housing Authority of the City of Hartford,,No
PERCIVAL C. SMITH TOWERS,141 Woodland St,Hartford,06105,193,Public_Housing,Housing Authority of the City of Hartford,,No
STRATFIELD APTS,45 CHAPEL ST,BRIDGEPORT,06604,191,LIHTC,,,No
NEW MEADOWS,1 PLAZA DR,MIDDLETOWN,06457,191,Section8_Multifamily,NEW MEADOWS REALTY,ssattler@carabetta.com,No
Stratfield Apartments,1241 Main St,Bridgeport,06604,191,Section8_Multifamily,Stratfield Apartments LLC,sam@thecapitalrealty.com,No
Eastgate Apartments,2171 E Main St,Waterbury,06705,190,Section8_Multifamily,Eastgate Apartments LLC,tony.nikc@gmail.com,No
Immanuel House,15 Woodland St,Hartford,06105,190,Section8_Multifamily,IMMANUEL CHURCH HOUSING  CORPORATION,jeanneomurphy@immanuelhousect.org,No
PARK WEST APTS,167-177 TERRACE DR,VERNON,06066,189,Section8_Multifamily,New Park West Limited Partnership,iris.santiago@tcbinc.org,No
Danbury Commons,51 1st St,Danbury,06810,188,Section8_Multifamily,DANBURY COMMONS LIMITED PARTNERSHIP,fred@transconbuilders.com,No
ENTERPRISE ABBOT APARTMENTS,245 N. MAIN STREET + 13 CHERRY AVENUE,WATERBURY,06702,187,LIHTC,,,No
NSA I Enterprise/Abbott Apts,13 CHERRY Ave.,WATERBURY,06702,187,Section8_Multifamily,Enterprise Abbott Limited Partnership,pappleby@winnco.com,No
Mohegan Commons,90 NORTH ST,NORWICH,06360,183,Section8_Multifamily,Mohegan Commons Ventures LLC,david@genesismgmtusa.com,No
Northwood Apts,212 Nortridge Drive,WATERBURY,06708,182,Section8_Multifamily,Northwood Apartments Ventures LLC,steve@srkmgmt.com,No
SPRINGHAVEN LP,15 RIDGE CT E,WEST HAVEN,06516,180,LIHTC,,,No
ROLLING RIDGE APTS,16 RIDGE CT W,WEST HAVEN,06516,180,LIHTC,,,No
SUMMER BROOK APTS,248 DARLING ST,SOUTHINGTON,06489,180,LIHTC,,,No
SUMMER BROOK APTS,24 - 36 Darling St,Southington,06489,180,Section8_Multifamily,Flanders East Rehab Associates LP,mfranzman@belfonti.com,No
CHAPPELLE GARDENS,367 BARBOUR ST,HARTFORD,06120,179,Section8_Multifamily,"Chappelle Gardens, inc",michael@housingconsultantsllc.com,No
WOODLAND HILLS APTS,330 HIGHLAND AVE,TORRINGTON,06790,176,LIHTC;Section8_Multifamily,Woodland Hills Community Partners LP,MSnowdon@cpp-housing.com,Yes
Coppermine Village Apts,150 Shawn Drive,Bristol,06010,176,Section8_Multifamily,Coppermine Housing Associates LLC,dkovel@beaconcommunitiesllc.com,No
WOODSIDE VILLAGE,6 DOROTHY DR,BLOOMFIELD,06002,176,Section8_Multifamily,Woodside Village Preservation LP,david.pearson@related.com,No
MERIDIAN TOWER,52 Sheila Court,BRISTOL,06010,173,Section8_Multifamily,"MERIDIANTOWER ASSOCIATES, A LIMITED PARTNERSHIP",gcarr@beacon-nc.com,No
TUSCAN HOMES I & II,71 - 79 Montville Streef,Hartford,06120,169,Section8_Multifamily,"TUSCAN BROTHERHOOD HOMES II, INC.",jnnngsjs2@comcast.net,No
SOUTHWOOD APTS,933 RUBBER AVENUE,NAUGATUCK,06770,168,Section8_Multifamily,Southwood Gardens LLC,tony.nikc@gmail.com,No
Nottingham Towers,31 Nottingham Ter,Waterbury,06704,165,Section8_Multifamily,Nottingham Towers Preservation LP,sfernandes@related.com,No
PARKSIDE APTS,160 PRATT ST,MERIDEN,06450,164,Section8_Multifamily,CR Parkside Limited Partnership,joseph.carabetta@carabetta.com,No
VILLAGEWOOD APARTMENTS,109 Village Wood Drive,WATERBURY,06705,164,Section8_Multifamily,Villagewood Apartments Ventures LLC,steve@srkmgmt.com,No
SILVER POND APTS,656 CTR ST,WALLINGFORD,06492,160,LIHTC,,,No
GREENS,,HARTFORD,,160,LIHTC;Public_Housing,Housing Authority of the City of Hartford,,Yes
BROOKSIDE VILLAGE,110 Brookside Lane,PAWCATUCK,06379,160,Section8_Multifamily,BROOKSIDE ASSOCIATES LIMITED,rgagliardi@gilbaneco.com,No
SILVER POND,650 EAST CENTER STREET,WALLINGFORD,06492,160,Section8_Multifamily,"FAH Silver Pond, L.P.",ssattler@carabetta.com,No
NEW PARK WEST APTS,NEW PARK W APTS PARK W DR,VERNON ROCKVILLE,,159,LIHTC,,,No
Plaza on the Green,2 N Main St,Waterbury,06702,157,Section8_Multifamily,Plaza on the Green Preservation LP,david.pearson@related.com,No
ST MARY'S RESIDENCE,41 BEAVER ST,NEW BRITAIN,06051,156,LIHTC,,,No
MLK Apartments,85 Van Block Ave,Hartford,06106,155,Section8_Multifamily,MLK Apartments LLC,aaron@vestacorp.com,No
STAMFORD MANOR,26 W Main St,Stamford,06902,155,Public_Housing,Housing Authority of the City of Stamford,,No
BAYBERRY CREST,192 PLAZA DR,MIDDLETOWN,06457,152,Section8_Multifamily,Bayberry Crest Realty Co,jcarabetta@carabetta.com,No
WILLOWCREST APTS,STONEYCREST DR,MIDDLETOWN,,151,LIHTC,,,No
PROSPECT TOWERS,34 PROSPECT ST,WATERBURY,06702,151,Section8_Multifamily,Southwood Gardens LLC,tony.nikc@gmail.com,No
CLAY ARSENAL RENAISSANCE APARTMENTS,17 Beldon Street,Hartford,06120,150,Section8_Multifamily,Clay Arsenal Apartments Limited Partnership,DL_NREImpactAMTeam@nuveen.com,No
Exchange Place Towers,44 Center St,Waterbury,06702,150,Section8_Multifamily,Exchange Place Preservation Partners LLC,dkovel@beaconcommunitiesllc.com,No
AGNES MORLEY HEIGHTS,249 Milbank Ave Apt 313,Greenwich,06830,150,Public_Housing,Greenwich Housing Authority,,No
SOUTHWOOD SQUARE I,14 SOUTHWOOD DR,STAMFORD,06902,149,LIHTC;Section8_Multifamily,Southfield Village Limited Partnership,DKovel@BeaconCommunitiesLLC.com,Yes
CHARLES T. MCQUEENEY TWR,358 Orange St Apt 1011,New Haven,06511,149,Public_Housing,Housing Authority of the City of New Haven,,No
CENTRAL YMCA,52 HOWE ST,NEW HAVEN,06511,148,LIHTC,,,No
SANA APTS - HIGH RISE,1620 MAIN ST,HARTFORD,06120,148,LIHTC,,,No
SHIPPAN PLACE,521 SHIPPAN AVE.,STAMFORD,06902,148,Section8_Multifamily,Shippan Place Preservation LLC,vderamus@rosecompanies.com,No
MOHICAN,281 CAPTAINS WALK,NEW LONDON,06320,146,LIHTC,,,No
MOHICAN HISTORIC APTS.,281 STATE ST.,NEW LONDON,06320,146,LIHTC;Section8_Multifamily,Mohican Historic Preservation LP,mfichpelberg@related.com,Yes
Flanders West Apts,3 DARLING,Southington,06489,145,Section8_Multifamily,New Flanders West LLC,compliance@sbgpartners.com,No
CAPITOL TOWERS APARTMENTS,470 BROAD STREET,HARTFORD,06106,144,LIHTC;Section8_Multifamily,Capitol Towers RHF Partners LP,peter.lewis@schochet.com,Yes
BERGER APARTMENTS,135 DERBY AVENUE,NEW HAVEN,06511,144,LIHTC;Section8_Multifamily,Steele Berger LIHTC LLC,mciano@monroegroup.com,Yes
Robin Ridge Apts,990 W Main St,Waterbury,06708,144,Section8_Multifamily,"Waterbury First Church Housing, Inc.",a.conquest@countymgmt.com,No
PARK SQUARE WEST,101 SUMMER ST,STAMFORD,06901,143,LIHTC,,,No
Village Heights,108B Cameo Dr,Willimantic,06226,142,Section8_Multifamily,CALEB VILLALGE HEIGHTS FOUNDATION,jwest@thecalebgroup.org,No
RIVER RUN APARTMENTS,50 GRAND AVE. AND 47 EXC.,NEW HAVEN,06501,140,Section8_Multifamily,"River Run Preservation, L.P.",mfinkle@related.com,No
ALFRED E. PLANT ELDERLY HOUSING,759 FARMINGTON AVENUE,WEST HARTFORD,06119,137,LIHTC,,,No
SOUTHFIELD VILLAGE SOUTHWOOD SQUARE I,15 SOUTHWOOD DR,STAMFORD,06902,136,LIHTC,,,No
TOWER II APARTMENTS,1491 CENTRAL AVE,BRIDGEPORT,06610,136,Section8_Multifamily,"Duhallow Trails, LLC",wsantos@snet.net,No
Underwood Elderly Apts,25 Laurel St,Hartford,06106,136,Section8_Multifamily,25 Laurel Street Associates Limited Partnership,frances.mariani@sandalwoodmgt.com,No
REDSTONE GARDEN APTS,SURREY DR & BIANCA RD,BRISTOL,,132,LIHTC,,,No
RHA MODERNIZATION,51 PROSPECT RDG,RIDGEFIELD,06877,132,LIHTC,,,No
FLORENCE VIRTUE HOMES,37 ORCHARD PL,NEW HAVEN,06511,129,LIHTC,,,No
GRISWOLD HILLS OF NEWINGTON,10 GRISWOLD HILLS DR,NEWINGTON,06111,128,LIHTC,,,No
THE HOMES AT PRIDE POINT,27 BOULDER DR,NEW LONDON,06320,126,LIHTC,,,No
Josephine Towers,24 Union St,Waterbury,06706,125,Section8_Multifamily,Josephine Towers Preservation LP,david.pearson@related.com,No
South Green Apts,65 CHURCH ST,MIDDLETOWN,06457,125,Section8_Multifamily,South Green Preservation LP,david.pearson@related.com,No
CHAMBERLAIN HEIGHTS,141 143 ANDREWS ST,MERIDEN,,124,LIHTC,,,No
SBONA TOWERS,40 Broad St,Middletown,06457,124,Public_Housing,Middletown Housing Authority,,No
Kingsway Apts,152 Westport Ave,Norwalk,06851,123,Section8_Multifamily,KINGSWAY APTS,jamie@kingswaygroup.org,No
Ulbrich Heights,45 Tremper Dr,Wallingford,06492,122,Section8_Multifamily,Wallingford Housing Authority,kmcdermott@wallingfordha.com,No
FRIENDSHIP HOUSE,28 PERRY ST,STAMFORD,06902,121,LIHTC;Section8_Multifamily,Friendship House Apartments Limited Partnership,jhealey@newneighborhoods.org,Yes
FAIRBANK APARTMENTS,355 FERRY STREET,NEW HAVEN,06513,121,LIHTC;Section8_Multifamily,Fairbanks Community Partners Limited Partnership,akannan@cpp-housing.com,Yes
Woodview Apts East Haven,1270 N High St,East Haven,06512,121,Section8_Multifamily,Woodview Associates,bnic45404@yahoo.com,No
KENSINGTON SQUARE I,392 ORCHARD ST,NEW HAVEN,06511,120,LIHTC;Section8_Multifamily,New Kensington II Limited Partnership,iris.santiago@tcbinc.org,Yes
SARANOR APTS,119 PLATT ST,MILFORD,06460,120,LIHTC,,,No
ORCHARD RIDGE ASSOC,235 WEBSTER ST,BERLIN,,120,LIHTC,,,No
HAMILTON PARK,281 Hamilton Avenue,NORWICH,06360,120,Section8_Multifamily,Hamilton Park Associates Limited Partnership,Pbarkan@barkanco.com,No
Hartford East Apts,886 MAIN ST,EAST HARTFORD,06108,120,Section8_Multifamily,Hartford East Elderly Apartments LP,wollawoff@msn.com,No
HUNTINGTON TOWERS,149 HUNTINGTON ST,NEW LONDON,06320,120,Section8_Multifamily,Huntington Senior Associates LLC,tlamberto@lnwa.com,No
Kensington Square I,37-39 KENSINGTON ST,NEW HAVEN,06511,120,Section8_Multifamily,New Kensington I Limited Partnership,sgarner@tcbinc.org,No
ROSE GARDENS,172-182 ROSE CIR,MIDDLETOWN,06457,120,Section8_Multifamily,CR Rose Gardens Limited Partnership,ssattler@carabetta.com,No
SARA NOR,119-153  PLATT ST,MILFORD,06460,120,Section8_Multifamily,Richard Woline,DKWoline@Pantheon.Yale.edu,No
Washington Heights,115 Washington Ave,Bridgeport,06604,120,Section8_Multifamily,WH Bridgeport LLC,james.carmichael@st-residential.com,No
MEADOW HILL APARTMENTS,101 Connecticut Blvd,East Hartford,06108,120,Public_Housing,East Hartford Housing Authority,,No
GAYLORD TOWER,55 Gaylord St,Bristol,06010,120,Public_Housing,Bristol Housing Authority,,No
SUMMITWOODS,30 MOPSIC CT,NORWICH,06360,119,LIHTC,,,No
SYCAMORE PLACE APTS,285 MAPLEWOOD AVE,BRIDGEPORT,06605,118,LIHTC;Section8_Multifamily,Sycamore Housing Associates LP,peter@tngrm.com,Yes
KIMBERLY PLACE APTS,19 MAIN ST,DANBURY,06810,116,LIHTC;Section8_Multifamily,Kimberly Place Preservation LLC,dmccarthy@heritagehousinginc.com,Yes
VILLAGE AT KILLINGLY,501 LINDENWOOD DR,DAYVILLE,06241,116,LIHTC,,,No
LOFTS AT PONEMAH MILLS (THE),607 NORWICH AVENUE,NORWICH,06380,116,LIHTC,,,No
Marshall Apartments,10 MARSHALL ST,HARTFORD,06105,115,Section8_Multifamily,Marshall Holdings LLC,ben@bluerisegroup.com,No
FLORENCE MILL,121 WEST MAIN STREET,ROCKVILLE,06066,113,Section8_Multifamily,FLORENCE MILL ASSOCIATES,pbarkan@barkanco.com,No
Poquonnock Village,1039 Poquonnock Rd,Groton,06340,113,Section8_Multifamily,Poquonnock Village Preservation LP,david.pearson@related.com,No
Billings Forge,140 RUSS ST-South,Hartford,06106,112,Section8_Multifamily,Billings Forge Preservation Associates Limited Par,assetmanager@poah.org,No
Countryside I/II aka New Countryside/Lakeside,12 Wolf Hill Rd,Wolcott,06716,112,Section8_Multifamily,New Countryside LLC,Eli.Mizrahie@sbgpartners.com,No
NAUBUC GREEN,193 WELLES STREET,GLASTONBURY,06033,111,Section8_Multifamily,"GLASTONBURY INTERFAITH HOUSING ENTERPRISES, L.P.",pbarkan@barkanco.com,No
Presidential Village,200 Shelton Avenue,New Haven,06511,111,Section8_Multifamily,Presidential Village LLC,wmharp@abacusproperty.net,No
KINGSWOOD APTS,466 ASH ST,WILLIMANTIC,06226,110,LIHTC;Section8_Multifamily,FAH Kingswood Limited Partnership,joseph.carabetta@carabetta.com,Yes
SOUTHFIELD VILLAGE SQUARE II,117 SOUTHWOOD DR,STAMFORD,06902,110,LIHTC,,,No
STONEBRIDGE BERLIN,714 WETHERSFIELD RD,BERLIN,,110,LIHTC,,,No
Burritt School Apts,75 North St,New Britain,06051,110,Section8_Multifamily,"BURRITT SCHOOL ASSOCIATES, LLC",ewernecke@picernefl.com,No
COMMUNITY TOWERS,55 Willow St,Meriden,06450,110,Public_Housing,Housing Authority of the City of Meriden,,No
Island View Park,100 Viscount Dr,Milford,06460,110,Public_Housing,Milford Redevelopment and Housing Partnership,,No
Crawford Manor,90 Park St,New Haven,06511,109,Public_Housing,Housing Authority of the City of New Haven,,No
SANA APTS - LOW RISE,61 NEW DONALD ST,HARTFORD,06120,108,LIHTC,,,No
WATERTOWN CROSSING VILLAGE,100 FULKERSON DR,WATERBURY,06708,108,LIHTC,,,No
ALLEN O NEILL HOMES,24 ALLEN ONEILL DR,DARIEN,06820,106,LIHTC,,,No
SLEEPING GIANT APTS,1238 HARTFORD TPKE,VERNON,06066,106,LIHTC,,,No
THE HEIGHTS AT DARIEN (FKA ALLEN ONEILL HOMES),"ELM STREET, NOROTON AVENUE, WEST AVENUE",DARIEN,06820,106,LIHTC,,,No
Oakland Heights Apts,360  OAKLAND ST,MANCHESTER,06042,106,Section8_Multifamily,Oakland Heights Owner LLC,cpgoakland@camberpg.com,No
AUGUSTUS MANOR,101 Main St,Stamford,06901,105,Section8_Multifamily,Augustus Manor Preservation LP,david.pearson@related.com,No
Avery Heights,300 Brandegee Ave,Groton,06340,105,Section8_Multifamily,Avery Heights Preservation LP,david.pearson@related.com,No
CASA OTONAL,135 SYLVAN AVE,NEW HAVEN,06519,105,Section8_Multifamily,Casa Otonal Housing Corporation,casaotonalnewhaven@gmail.com,No
THE HOMES AT PROGRESS POINT,58 70 FERN ST,NEW LONDON,,104,LIHTC,,,No
BREWERY SQUARE APARTMENTS,ONE BREWERY SQ,NEW HAVEN,06513,104,Section8_Multifamily,Brewery Square Master Tenant LLC,akannan@cpp.housing.com,No
Austin Heights,270 AUSTIN RD,Waterbury,06705,104,Section8_Multifamily,Austin Heights CT LLC,Sol@eatonspringsllc.com,No
Elderly and Bond Street,67 Martin Luther King Dr,New Britain,06051,104,Public_Housing,Housing Authority of the CIty of New Britain,,No
THE HEIGHTS AT DARIEN,1 ALLEN ONEILL DR,DARIEN,06820,103,LIHTC,,,No
PARNELL BROOK,67 SACKETT POINT RD,NORTH HAVEN,06473,103,LIHTC,,,No
PEACHTREE VILLAGE,60 DARLING DR,AVON,06001,103,LIHTC,,,No
MATTHEW RUOPPOLO MANOR,480 Ferry St,New Haven,06513,103,Public_Housing,Housing Authority of the City of New Haven,,No
MORRISSEY MANOR,1187 Campbell Ave,West Haven,06516,103,Public_Housing,West Haven Housing Authority,,No
HARRISON APTS BRIDGEPORT YMCA,651 STATE ST,BRIDGEPORT,06604,102,LIHTC,,,No
BERRY PATCH ASSOC I,205 OAKLAND RD,SOUTH WINDSOR,06074,102,LIHTC,,,No
EASTVIEW TERRACE,145 EASTERN ST,NEW HAVEN,06513,102,LIHTC,,,No
LAURELWOOD PLACE APARTMENTS,585 NORMAN STREET,BRIDGEPORT,06605,102,LIHTC;Section8_Multifamily,Laurelwood Housing Associates LP,acelella@vestacorp.com,Yes
BUTTER BROOK HILL APTS,1 Hillside Ave,New Milford,06776,102,Section8_Multifamily,"NEW MILFORD INTERFAITH HOUSING, INC.",bfairbairn@ehmchm.org,No
BROOKSIDE PHASE II RENTAL,120 BROOKSIDE AVENUE,NEW HAVEN,06513,101,LIHTC,,,No
MAPLEVIEW TOWERS,51 GROVE STREET,STAMFORD,06901,101,LIHTC;Section8_Multifamily,Mapleview Tower Preservation LP,David.Pearson@Related.com,Yes
CLIFFORD HOUSE,1450 MAIN STREET,BRIDGEPORT,06604,101,LIHTC;Section8_Multifamily,Clifford House Preservation LP,david.pearson@related.com,Yes
Simeon Village,4 Simeon Rd,Bethel,06801,101,Section8_Multifamily,"RMS Durant, LLC",Randy@rms-companies.com,No
FEDERATION HOMES,156 WINTONBURY AVE,BLOOMFIELD,06002,101,Section8_Multifamily,Federation Homes Inc.,jonathan@federationhomes.org,No
BROOKSIDE ESTATES,1 AUSTIN ST,NEW HAVEN,06515,100,LIHTC;Public_Housing,Housing Authority of the City of New Haven,,Yes
HEDGEWOOD APTS,101 SANDY LN,NORWICH,06360,100,LIHTC,,,No
THE RETREAT,90 RETREAT AVE,HARTFORD,06106,100,LIHTC,,,No
BIRCH MEADOW APTS,850 PARKER ST,MANCHESTER,06042,100,LIHTC,,,No
CANAAN PARISH,186 Lakeview Ave,New Canaan,06840,100,Section8_Multifamily,Canaan Parish Redevelopment Limited Partnership,dmccarthy@heritagehousinginc.com,No
CRESTWOOD PARK I,96 Stoddard Dr,Meriden,06451,100,Section8_Multifamily,IGP CRESTWOOD I LIMITED PARTNERSHIP,jcarabetta@carabetta.com,No
HANOVER TOWERS,70 BUTLER ST,MERIDEN,06450,100,Section8_Multifamily,Butler St./Hanover Towers L.P.,aan@fac-llc.com,No
HILLSIDE GARDENS,122 Hall Ave,MERIDEN,06450,100,Section8_Multifamily,CR Hillside Limited Partnership,ssattler@carabetta.com,No
JUNIPER HILL VILLAGE,1 Silo Circ,STORRS,06268,100,Section8_Multifamily,"MANSFIELD RETIREMENT COMMUNITY, INC.",dpelletier@ehmchm.org,No
MEADOWAY GARDENS,120 Rose Circle,MIDDLETOWN,06457,100,Section8_Multifamily,CR Meadoway Limited Partnership,JCarabetta@carabetta.com,No
Nathan Hale Apts,55 Tremont St,New Britain,06051,100,Section8_Multifamily,"Nathan Hale Apartments, LLC",jcummings@picerneri.com,No
NEWFIELD TOWERS,220 NEWFIELD STREET,MIDDLETOWN,06457,100,Section8_Multifamily,NEWFIELD TOWERS REALTY COMPANY,jcarabetta@carabetta.com,No
PARISH COURT,175 Warde Ter,Fairfield,06825,100,Section8_Multifamily,"CHURCH HOUSING FOR FAIRFIELD, INC.",dpelletier@ehmchm.org,No
STONEYCREST TOWERS,352 NEWFIELD ST,MIDDLETOWN,06457,100,Section8_Multifamily,STONEYCREST TOWERS REALTY COMPANY,jcarabetta@carabetta.com,No
Welles Country Village,46 Welles Rd,Talcottville,06066,100,Section8_Multifamily,"WELLES COUNTRY VILLAGE, Ltd.",jeanneomurphy@immanuelhousect.org,No
JOHN J. ASHTON TOWER,621 Valley St,Willimantic,06226,100,Public_Housing,Willimantic Housing Authority,,No
Elderly and Bond Street,107 Martin Luther King Dr,New Britain,06051,100,Public_Housing,Housing Authority of the CIty of New Britain,,No
HANOVER TOWERS,76 BUTLER ST,MERIDEN,06451,99,LIHTC,,,No
West Hartford Fellowship Hsg I,20 Starkel Rd,W Hartford,06117,99,Section8_Multifamily,20 Starkel LLC,markg@whfh.org,No
THAMES RIVER APARTMENTS,127 Hempstead St Apt 111,New London,06320,99,Public_Housing,New London Housing Authority,,No
BOULDER RIDGE ASSOC,400 COMMERCE DR,CANTON,06019,98,LIHTC,,,No
Park Apartments,365 Garden St,Hartford,06112,98,Section8_Multifamily,The Hartford Communities LLC,ssattler@carabetta.com,No
WOOSTER MANOR,36 W Wooster St Apt 311,Danbury,06810,98,Public_Housing,Housing Authority of the City of Danbury,,No
IVES MANOR,198 MAIN ST,DANBURY,06810,97,Section8_Multifamily,Danbury Housing Authority,jdelaney@hacdct.org,No
WEQUONNOC VILLAGE,24 NORTH FIFTH AVE,TAFTVILLE,06380,97,Section8_Multifamily,Wequonnoc Village Preservation LP,david.pearson@related.com,No
WHARFSIDE COMMONS,30 FERRY ST,MIDDLETOWN,06457,96,LIHTC,,,No
Salem Village I & II,70 Proulx St,Brooklyn,06234,96,Section8_Multifamily,BROOKLYN ELDERLY LIMITED PARTNERSHIP,richard@ghmco.com,No
Willow Arms Apartments,442 Main St,East Hartford,06118,96,Section8_Multifamily,Willow Arms Preservation LP,david.pearson@related.com,No
CRESCENT CROSSING PHASE 1-A,252 HALLETT STREET,BRIDGEPORT,06608,93,LIHTC,,,No
NORTHSIDE TERRACES,4 TER DR,TORRINGTON,06790,92,LIHTC;Section8_Multifamily,Northside Terraces LLC,rcrowley@tcbinc.org,Yes
